artist,album,year,country,date
Neil Young,After the Gold Rush,1970,🇨🇦 Canada,
The Fishmans,The Long Seasons,1996,🇯🇵 Japan,
The Kinks,-,-,🇬🇧 UK,
the Jesus and Mary Chain,Darklands,1987,🇬🇧 UK,
Slowdive,Slowdive,2017,🇬🇧 UK,
Clairo,Charm,2024,🇺🇸 USA,
Cocteau Twins,Heaven or Las Vegas,1990,🇺🇸 USA,
the Velvet Underground,The Velvet Underground & Nico,1967,🇺🇸 USA,
Dadawa (朱哲琴),Moonrise (月出),2013,🇨🇳 China,
